item,verb,noun,condition,iRT_AJT,verb_delta_cos,verb_pool_size,verb_apd,verb_n_clusters,verb_samd,noun_delta_cos,noun_pool_size,noun_apd,noun_n_clusters,noun_x_source
leak images,leak,image,Collocation,1028.13043478261,0.9102241396903992,83.0,0.23496058583259583,2.0,0.4529699385166168,0.9422399401664734,95.0,0.24032320082187653,2.0,
level charges,level,charge,Collocation,1594.34782608696,0.8983315229415894,78.0,0.38156113028526306,3.0,0.3639827370643616,0.9500912427902222,93.0,0.22084102034568787,2.0,
lift bans,lift,ban,Collocation,1215.30434782609,0.786924421787262,96.0,0.21032202243804932,4.0,0.5293949246406555,0.9967013597488403,92.0,0.11214114725589752,2.0,
lock eyes,lock,eye,Collocation,1025.47826086957,0.8964148759841919,90.0,0.20273999869823456,2.0,0.22829681634902954,0.9795929789543152,96.0,0.14115197956562042,2.0,
navigate challenges,navigate,challenge,Collocation,1104.13043478261,0.9400266408920288,98.0,0.32063594460487366,2.0,0.28040018677711487,0.9393575191497803,93.0,0.2195696234703064,2.0,
nurse grudges,nurse,grudge,Collocation,1607.77272727273,0.9643720984458923,34.0,0.2829453647136688,2.0,0.28406181931495667,0.9956424236297607,11.0,0.1982351839542389,2.0,
pad resumes,pad,resume,Collocation,1379.08695652174,0.8217320442199707,53.0,0.3101784884929657,2.0,0.47184833884239197,0.9720068573951721,88.0,0.19876492023468018,2.0,
pay visits,pay,visit,Collocation,923.391304347826,0.8760960698127747,95.0,0.2813744843006134,2.0,0.40349411964416504,0.9729673862457275,95.0,0.1883750706911087,2.0,
pick fights,pick,fight,Collocation,859.173913043478,0.9113692045211792,94.0,0.367572546005249,2.0,0.3556704819202423,0.9832401275634766,93.0,0.19441349804401398,2.0,
pierce darkness,pierce,darkness,Collocation,1654.78260869565,0.9681373834609985,73.0,0.2532677948474884,2.0,0.18238389492034912,0.9933927655220032,78.0,0.14453065395355225,2.0,
pin hopes,pin,hope,Collocation,1029.17391304348,0.8237404823303223,83.0,0.3374977111816406,2.0,0.3946901559829712,0.9017336368560791,93.0,0.25648611783981323,2.0,
plant kisses,plant,kiss,Collocation,1118.0,0.8112097978591919,89.0,0.3548697829246521,3.0,0.4499432444572449,0.9890656471252441,62.0,0.11574361473321915,2.0,
polish skills,polish,skill,Collocation,1128.47826086957,0.917322039604187,90.0,0.3264820873737335,2.0,0.3444975018501282,0.9867067337036133,86.0,0.26100999116897583,2.0,
push agendas,push,agenda,Collocation,1043.13043478261,0.920423686504364,96.0,0.27929988503456116,2.0,0.4424220323562622,0.9744123220443726,93.0,0.24856114387512207,2.0,
read minds,read,mind,Collocation,870.652173913043,0.9367933869361877,94.0,0.22159433364868164,2.0,0.2763848304748535,0.9731766581535339,98.0,0.26618969440460205,2.0,
reap profits,reap,profit,Collocation,1160.69565217391,0.9390725493431091,59.0,0.43459343910217285,3.0,0.37108635902404785,0.9886471033096313,95.0,0.18551890552043915,2.0,
scrap plans,scrap,plan,Collocation,1115.95652173913,0.8989998698234558,76.0,0.3711627125740051,3.0,0.47010207176208496,0.9619013071060181,97.0,0.2362688183784485,2.0,
scrape living,scrape,living,Collocation,1601.26086956522,0.9235904812812805,50.0,0.19678372144699097,2.0,0.2962997853755951,0.9590911865234375,68.0,0.22535930573940277,2.0,
share joy,share,joy,Collocation,932.304347826087,0.9310263395309448,98.0,0.3190183639526367,2.0,0.33038341999053955,0.9884383678436279,88.0,0.22049039602279663,2.0,
shatter myths,shatter,myth,Collocation,1145.17391304348,0.8767656087875366,83.0,0.43807464838027954,2.0,0.5107229351997375,0.9768772721290588,90.0,0.2682284712791443,2.0,
shift blame,shift,blame,Collocation,949.04347826087,0.9199212193489075,98.0,0.24919001758098602,2.0,0.2758728265762329,0.9942866563796997,56.0,0.12331856042146683,2.0,
slash spending,slash,spending,Collocation,1297.30434782609,0.9626632332801819,91.0,0.2903079688549042,3.0,0.39477279782295227,0.9855850338935852,91.0,0.18403412401676178,2.0,
smear reputations,smear,reputation,Collocation,1323.13043478261,0.9135725498199463,50.0,0.37709343433380127,2.0,0.3778989315032959,0.972665548324585,96.0,0.19828657805919647,2.0,
smell fear,smell,fear,Collocation,1373.34782608696,0.9663390517234802,84.0,0.1788693368434906,2.0,0.19169169664382935,0.9640929698944092,97.0,0.13639402389526367,2.0,
soften tones,soften,tone,Collocation,1216.69565217391,0.9279643893241882,95.0,0.3733370900154114,2.0,0.39406365156173706,0.9166215658187866,94.0,0.30466538667678833,2.0,
sow confusion,sow,confusion,Collocation,1486.91304347826,0.911645770072937,66.0,0.45960843563079834,2.0,0.41445133090019226,0.9851139783859253,87.0,0.22918511927127838,2.0,
spark panic,spark,panic,Collocation,1530.86956521739,0.9261981844902039,96.0,0.3758868873119354,3.0,0.37036287784576416,0.9808365106582642,53.0,0.15155181288719177,2.0,
spew hate,spew,hate,Collocation,1017.39130434783,0.9187072515487671,80.0,0.38004955649375916,2.0,0.4403795897960663,0.9966223239898682,58.0,0.14767737686634064,2.0,
spill secrets,spill,secret,Collocation,1118.08695652174,0.8609067797660828,81.0,0.36697453260421753,2.0,0.3262806236743927,0.9752954244613647,90.0,0.1867833435535431,2.0,
spin tales,spin,tale,Collocation,1077.0,0.9048839807510376,83.0,0.34100931882858276,2.0,0.33093440532684326,0.9949862360954285,91.0,0.24608470499515533,2.0,
spread terror,spread,terror,Collocation,1097.34782608696,0.93120938539505,92.0,0.2481400966644287,2.0,0.3709113597869873,0.9901028871536255,78.0,0.18292109668254852,2.0,
steer conversations,steer,conversation,Collocation,1200.04347826087,0.8491051197052002,72.0,0.3855275809764862,2.0,0.3903389275074005,0.9840676784515381,98.0,0.19109117984771729,2.0,
stifle dissent,stifle,dissent,Collocation,1468.17391304348,0.8115510940551758,97.0,0.4301215708255768,2.0,0.5818433165550232,0.9937940835952759,45.0,0.13761065900325775,2.0,
stimulate discussions,stimulate,discussion,Collocation,1490.73913043478,0.830981969833374,99.0,0.36096927523612976,2.0,0.4574008285999298,0.982278048992157,98.0,0.23173075914382935,2.0,
stir controversies,stir,controversy,Collocation,1339.86956521739,0.7401313781738281,90.0,0.31164634227752686,3.0,0.6795739531517029,0.9869788885116577,84.0,0.15944920480251312,2.0,
strain relations,strain,relation,Collocation,1254.5652173913,0.8523513078689575,80.0,0.3085240125656128,2.0,0.3849359154701233,0.9674930572509766,97.0,0.19844086468219757,2.0,
strike poses,strike,pose,Collocation,1076.47826086957,0.8917999863624573,91.0,0.3699602782726288,2.0,0.34219521284103394,0.9675585627555847,54.0,0.21049967408180237,2.0,
string sentences,string,sentence,Collocation,1136.26086956522,0.9108554720878601,45.0,0.21860545873641968,2.0,0.37020283937454224,0.9162909388542175,99.0,0.17952485382556915,2.0,
swallow pride,swallow,pride,Collocation,1057.04347826087,0.9324851036071777,94.0,0.277923583984375,2.0,0.28567832708358765,0.9802073836326599,84.0,0.16834023594856262,2.0,
sway voters,sway,voter,Collocation,1175.78260869565,0.935808539390564,68.0,0.22351977229118347,2.0,0.4767948389053345,0.9816045165061951,88.0,0.2037607729434967,2.0,
sweeten deals,sweeten,deal,Collocation,1235.82608695652,0.8906131982803345,27.0,0.40061184763908386,2.0,0.5181525945663452,0.9651816487312317,98.0,0.2724241614341736,2.0,
swing elections,swing,election,Collocation,1571.86956521739,0.8725805282592773,83.0,0.27219337224960327,2.0,0.32795342803001404,0.9829174280166626,94.0,0.1963656097650528,2.0,
taste success,taste,success,Collocation,1044.65217391304,0.8874394297599792,84.0,0.29007741808891296,2.0,0.3446847200393677,0.9803184866905212,97.0,0.2572781443595886,2.0,
throw parties,throw,party,Collocation,948.260869565217,0.9241197109222412,95.0,0.3706492781639099,2.0,0.3300688564777374,0.9493745565414429,92.0,0.15972955524921417,2.0,
twist words,twist,word,Collocation,1013.30434782609,0.9330129027366638,87.0,0.26368334889411926,2.0,0.3194611072540283,0.9457628726959229,98.0,0.24693547189235687,2.0,
unearth talent,unearth,talent,Collocation,1159.17391304348,0.8027613162994385,77.0,0.45315760374069214,2.0,0.5032898187637329,0.9928149580955505,94.0,0.2115665227174759,3.0,
unleash fury,unleash,fury,Collocation,1099.4347826087,0.9778344631195068,95.0,0.5181573629379272,2.0,0.3204036056995392,0.9913347959518433,27.0,0.25583183765411377,2.0,
unlock potential,unlock,potential,Collocation,1086.91304347826,0.8848263621330261,90.0,0.3366928696632385,2.0,0.46336933970451355,0.9611322283744812,97.0,0.3608441948890686,2.0,
weave stories,weave,story,Collocation,1356.52173913043,0.8540947437286377,83.0,0.47953352332115173,3.0,0.4883783459663391,0.9818729758262634,98.0,0.20156703889369965,2.0,
abandon buildings,abandon,building,Productive,1175.0,0.9250439405441284,99.0,0.30263152718544006,4.0,0.31926217675209045,0.9889915585517883,95.0,0.2192738652229309,2.0,
battle enemies,battle,enemy,Productive,1079.65217391304,0.9611518979072571,94.0,0.2668551206588745,2.0,0.3867669999599457,0.9916877746582031,96.0,0.2540462613105774,2.0,
beat eggs,beat,egg,Productive,1036.13043478261,0.8048112392425537,78.0,0.2374415546655655,2.0,,0.9675986766815186,97.0,0.18915040791034698,3.0,
bend legs,bend,leg,Productive,1008.69565217391,0.9695998430252075,94.0,0.2247176170349121,2.0,0.33690354228019714,0.9805029034614563,97.0,0.2336171716451645,2.0,
break bones,break,bone,Productive,936.086956521739,0.9303344488143921,92.0,0.2706938087940216,3.0,0.41179484128952026,0.9754813313484192,90.0,0.24267728626728058,3.0,
build structures,build,structure,Productive,873.304347826087,0.984121561050415,99.0,0.31305941939353943,2.0,0.4316227436065674,0.9494799375534058,96.0,0.2595950663089752,2.0,
capture soldiers,capture,soldier,Productive,1064.5652173913,0.818308413028717,96.0,0.19866809248924255,3.0,0.45786067843437195,0.9817034006118774,89.0,0.20711250603199005,3.0,
carry loads,carry,load,Productive,1029.4347826087,0.9658510684967041,94.0,0.3540867269039154,2.0,0.5566971898078918,0.9866123199462891,98.0,0.23713083565235138,2.0,
cast lines,cast,line,Productive,1357.13043478261,0.9464386701583862,94.0,0.2548927664756775,2.0,0.5443013906478882,0.9702595472335815,98.0,0.14698447287082672,2.0,
catch fish,catch,fish,Productive,874.782608695652,0.946042537689209,89.0,0.2327796071767807,3.0,0.6127970814704895,0.9933391213417053,98.0,0.17009076476097107,2.0,
chase balls,chase,ball,Productive,1202.95652173913,0.9622492790222168,94.0,0.26556241512298584,3.0,0.2984374463558197,0.9785563349723816,99.0,0.262732595205307,2.0,
close windows,close,window,Productive,997.04347826087,0.921197772026062,92.0,0.3100459575653076,2.0,0.3275776207447052,0.9493435621261597,95.0,0.34306955337524414,3.0,
cover faces,cover,face,Productive,971.391304347826,0.8324799537658691,96.0,0.25451257824897766,2.0,0.48076069355010986,0.977194607257843,97.0,0.16607841849327087,2.0,
crack eggs,crack,egg,Productive,890.826086956522,0.9333441257476807,89.0,0.2338639497756958,2.0,0.3693903386592865,0.9801680445671082,97.0,0.19870004057884216,3.0,
crash spaceships,crash,spaceship,Productive,1293.65217391304,0.9696527719497681,77.0,0.20957747101783752,2.0,0.17087499797344208,0.9906375408172607,19.0,0.210619255900383,2.0,
cut hair,cut,hair,Productive,870.478260869565,0.8996874094009399,99.0,0.16816994547843933,3.0,0.33235615491867065,0.9844798445701599,99.0,0.13319386541843414,2.0,
defuse bombs,defuse,bomb,Productive,997.869565217391,0.9484279751777649,28.0,0.29996901750564575,2.0,0.24813486635684967,0.9951668381690979,87.0,0.17969803512096405,3.0,
defy laws,defy,law,Productive,1007.91304347826,0.9828004240989685,90.0,0.42839765548706055,2.0,0.35653746128082275,0.9770957231521606,95.0,0.22398261725902557,2.0,
dent cans,dent,can,Productive,1300.91304347826,,,,,,,,,,
dissolve sugar,dissolve,sugar,Productive,991.434782608696,0.8617445826530457,83.0,0.1801224648952484,2.0,0.37425410747528076,0.9618295431137085,94.0,0.18134555220603943,2.0,
drive vehicles,drive,vehicle,Productive,944.260869565217,0.9190517067909241,97.0,0.30712777376174927,2.0,0.44306743144989014,0.990685224533081,95.0,0.25927671790122986,2.0,
drop anchors,drop,anchor,Productive,1010.86956521739,0.9544598460197449,95.0,0.25119727849960327,2.0,0.3877711594104767,0.9843400120735168,65.0,0.1482059806585312,2.0,
enter houses,enter,house,Productive,1003.13043478261,0.9446269273757935,92.0,0.23156842589378357,2.0,0.35306987166404724,0.9854865670204163,94.0,0.1366310715675354,2.0,
erase boards,erase,board,Productive,1177.65217391304,0.9627084732055664,83.0,0.24599957466125488,2.0,0.24787528812885284,0.9591280221939087,93.0,0.16836632788181305,2.0,
face windows,face,window,Productive,1480.0,0.6656608581542969,99.0,0.3564545214176178,2.0,0.5357373356819153,0.9671652317047119,95.0,0.26517778635025024,2.0,
fight armies,fight,army,Productive,1292.78260869565,0.9631505012512207,88.0,0.2376636415719986,2.0,0.2552527189254761,0.9912496209144592,96.0,0.2566693425178528,2.0,
float logs,float,log,Productive,1426.08695652174,0.9328956604003906,52.0,0.1973990947008133,2.0,0.5473946928977966,0.9121015071868896,93.0,0.1419059932231903,2.0,
flood areas,flood,area,Productive,1049.39130434783,0.9878585934638977,89.0,0.2883879244327545,4.0,0.3526810109615326,0.958817720413208,88.0,0.2838533818721771,2.0,
forge steel,forge,steel,Productive,1004.17391304348,0.8889467716217041,89.0,0.5047255754470825,3.0,0.40276092290878296,0.9925963878631592,76.0,0.23831266164779663,2.0,
frame pictures,frame,picture,Productive,890.695652173913,0.9434802532196045,88.0,0.35269513726234436,2.0,0.34679749608039856,0.9826049208641052,97.0,0.27694615721702576,3.0,
freeze water,freeze,water,Productive,1236.36363636364,0.9713187217712402,90.0,0.21066132187843323,2.0,0.26427191495895386,0.9508214592933655,97.0,0.2723468840122223,2.0,
fuel cars,fuel,car,Productive,1097.65217391304,0.8915300369262695,99.0,0.25144505500793457,2.0,0.5360842347145081,0.9622772336006165,98.0,0.2271837443113327,2.0,
gather evidence,gather,evidence,Productive,931.347826086957,0.8469932079315186,94.0,0.38690853118896484,2.0,0.5293878316879272,0.9925372004508972,95.0,0.23726056516170502,2.0,
harbor terrorists,harbor,terrorist,Productive,1371.73913043478,0.8795400261878967,93.0,0.3012971580028534,2.0,0.5846889019012451,0.9837672710418701,90.0,0.2002057135105133,2.0,
hold hands,hold,hand,Productive,973.826086956522,0.8325691223144531,94.0,0.28851619362831116,2.0,0.3619943857192993,0.9875299334526062,96.0,0.21390792727470398,2.0,
hurl stones,hurl,stone,Productive,1057.78260869565,0.9645093679428101,73.0,0.3194139003753662,2.0,0.31314796209335327,0.9415457248687744,91.0,0.1433430314064026,2.0,
hurt children,hurt,child,Productive,1167.69565217391,0.9615941047668457,89.0,0.21185950934886932,2.0,0.36906424164772034,0.9857336282730103,97.0,0.2592805027961731,3.0,
ignite flames,ignite,flame,Productive,1211.4347826087,0.9748726487159729,90.0,0.3655410408973694,2.0,0.4632437229156494,0.9817168116569519,81.0,0.26026344299316406,2.0,
inflate balloons,inflate,balloon,Productive,1003.21739130435,0.8530845642089844,78.0,0.31186026334762573,2.0,0.5598909854888916,0.986194908618927,83.0,0.18287575244903564,3.0,
invade territories,invade,territory,Productive,1185.86956521739,0.9794995784759521,55.0,0.24228136241436005,2.0,0.4467865824699402,0.9815179109573364,91.0,0.2545154094696045,2.0,
juggle balls,juggle,ball,Productive,943.739130434783,0.9352405667304993,88.0,0.2224866896867752,2.0,0.3333453834056854,0.9223726987838745,99.0,0.24700817465782166,2.0,
kick doors,kick,door,Productive,1010.30434782609,0.9546393156051636,88.0,0.29779747128486633,2.0,0.33047208189964294,0.9872676134109497,99.0,0.1682232767343521,2.0,
kill officers,kill,officer,Productive,1716.73913043478,0.9656172394752502,86.0,0.19621427357196808,2.0,0.3181948959827423,0.9767308235168457,91.0,0.2081865817308426,3.0,
land planes,land,plane,Productive,1061.08695652174,0.962254524230957,92.0,0.25244876742362976,3.0,0.3744095265865326,0.9850103259086609,93.0,0.16928569972515106,2.0,
launch satellites,launch,satellite,Productive,1152.91304347826,0.9339540600776672,95.0,0.19661997258663177,2.0,0.30140215158462524,0.9777915477752686,67.0,0.20214278995990753,3.0,
launder clothes,launder,clothes,Productive,1298.08695652174,,,,,,,,,,
leak oil,leak,oil,Productive,1007.95454545455,0.8971065282821655,83.0,0.24930019676685333,2.0,0.4529699385166168,0.9816628098487854,97.0,0.20590965449810028,2.0,
level ground,level,ground,Productive,1159.26086956522,0.9775258302688599,78.0,0.2403637021780014,2.0,0.3639827370643616,0.952347993850708,89.0,0.18261496722698212,2.0,
lift weights,lift,weight,Productive,907.695652173913,0.902608335018158,96.0,0.27205607295036316,2.0,0.5293949246406555,0.8768775463104248,97.0,0.2539403736591339,3.0,
lock gates,lock,gate,Productive,973.173913043478,0.9699072241783142,90.0,0.20224566757678986,2.0,0.22829681634902954,0.9851251840591431,91.0,0.20279255509376526,3.0,
navigate waters,navigate,water,Productive,1279.39130434783,0.9652236700057983,98.0,0.3436466157436371,2.0,0.28040018677711487,0.6926478743553162,97.0,0.2974990904331207,2.0,
nurse infants,nurse,infant,Productive,1101.31818181818,0.9668474793434143,34.0,0.2361307591199875,2.0,0.28406181931495667,0.9665049314498901,71.0,0.18654881417751312,2.0,
pad cushions,pad,cushion,Productive,1268.86956521739,0.9592152833938599,53.0,0.24916276335716248,2.0,0.47184833884239197,0.9865375757217407,49.0,0.26247596740722656,3.0,
pay debts,pay,debt,Productive,879.304347826087,0.8780337572097778,95.0,0.2106814682483673,2.0,0.40349411964416504,0.9862107634544373,88.0,0.18204732239246368,2.0,
pick winners,pick,winner,Productive,1008.21739130435,0.9153749942779541,94.0,0.2985638976097107,2.0,0.3556704819202423,0.9868523478507996,92.0,0.20770373940467834,2.0,
pierce flesh,pierce,flesh,Productive,1343.5652173913,0.9885035157203674,73.0,0.2376808077096939,2.0,0.18238389492034912,0.9816268682479858,80.0,0.20281881093978882,2.0,
pin hair,pin,hair,Productive,1206.21739130435,0.9396215081214905,83.0,0.2926669120788574,3.0,0.3946901559829712,0.992759644985199,99.0,0.1846095472574234,2.0,
plant seedlings,plant,seedling,Productive,969.04347826087,0.9777191877365112,89.0,0.28667521476745605,4.0,0.4499432444572449,0.989159107208252,47.0,0.2400197833776474,3.0,
polish surfaces,polish,surface,Productive,954.304347826087,0.9830825328826904,90.0,0.24539731442928314,2.0,0.3444975018501282,0.97453773021698,95.0,0.24059057235717773,2.0,
push door,push,door,Productive,1039.95652173913,0.8669787049293518,96.0,0.2899266481399536,2.0,0.4424220323562622,0.9824313521385193,99.0,0.14026352763175964,2.0,
read documents,read,document,Productive,958.130434782609,0.9783147573471069,94.0,0.3329678475856781,2.0,0.2763848304748535,0.9816605448722839,94.0,0.3318299353122711,2.0,
reap harvests,reap,harvest,Productive,1327.69565217391,0.9778130650520325,59.0,0.38895297050476074,2.0,0.37108635902404785,0.9688152074813843,82.0,0.21003001928329468,2.0,
scrap cars,scrap,car,Productive,933.217391304348,0.9009014964103699,76.0,0.2845400273799896,3.0,0.47010207176208496,0.9791705012321472,98.0,0.21288421750068665,2.0,
scrape skin,scrape,skin,Productive,1129.30434782609,0.9554072022438049,50.0,0.21546751260757446,2.0,0.2962997853755951,0.9787023067474365,97.0,0.20619867742061615,2.0,
share food,share,food,Productive,947.772727272727,0.8976004719734192,98.0,0.2335057407617569,2.0,0.33038341999053955,0.9880776405334473,97.0,0.2276696115732193,2.0,
shatter glass,shatter,glass,Productive,995.95652173913,0.9278979301452637,83.0,0.2512870132923126,2.0,0.5107229351997375,0.9373904466629028,92.0,0.20726530253887177,2.0,
shift position,shift,position,Productive,936.478260869565,0.97369784116745,98.0,0.2699439227581024,2.0,0.2758728265762329,0.9697390794754028,96.0,0.3131290376186371,2.0,
slash throats,slash,throat,Productive,1251.95652173913,0.8721135258674622,91.0,0.2493748813867569,2.0,0.39477279782295227,0.971295177936554,82.0,0.16972222924232483,2.0,
