item,verb,noun,condition,iRT_AJT,verb_delta_cos,verb_pool_size,noun_delta_cos,noun_pool_size,noun_x_source,noun_concreteness,snd3,snd10,snd25,snd50,logDice,collocation_freq,VerbFreq,NounFreq,verb_synset_len
stimulate discussions,stimulate,discussion,Collocation,1490.73913043478,0.830981969833374,99.0,0.982278048992157,98.0,,3.07,180.21,295.44,351.36,377.72,7.36,12744,430978,214649,7
stir controversies,stir,controversy,Collocation,1339.86956521739,0.7401313781738281,90.0,0.9869788885116576,84.0,,2.29,146.19,222.23,259.61,281.54,8.59,6065,430978,214649,8
strain relations,strain,relation,Collocation,1254.5652173913,0.8523513078689575,80.0,0.9674930572509766,97.0,,2.11,234.35,333.67,369.06,392.03,7.47,5144,430978,214649,9
strike poses,strike,pose,Collocation,1076.47826086957,0.8917999863624573,91.0,0.9675585627555848,54.0,,3.33,12.162,16.888,18.741,19.754,8.6,13132,430978,214649,21
string sentences,string,sentence,Collocation,1136.26086956522,0.91085547208786,45.0,0.9162909388542176,99.0,,3.57,120.5,167.75,185.71,195.53,6.16,2391,430978,214649,7
swallow pride,swallow,pride,Collocation,1057.04347826087,0.9324851036071776,94.0,0.98020738363266,84.0,,1.66,105.29,146.53,161.59,171.11,8.82,8341,430978,214649,8
sway voters,sway,voter,Collocation,1175.78260869565,0.935808539390564,68.0,0.9816045165061952,88.0,,3.93,113.27,163.03,184.22,197.0,7.37,2692,430978,214649,4
sweeten deals,sweeten,deal,Collocation,1235.82608695652,0.8906131982803345,27.0,0.9651816487312316,98.0,,3.1,162.55,254.97,291.8,311.14,6.46,8402,430978,214649,2
swing elections,swing,election,Collocation,1571.86956521739,0.8725805282592773,83.0,0.9829174280166626,94.0,,3.17,169.32,244.01,275.67,294.49,6.04,2890,430978,214649,13
taste success,taste,success,Collocation,1044.65217391304,0.8874394297599792,84.0,0.9803184866905212,97.0,,2.21,194.18,295.66,331.23,349.41,5.9,4956,430978,214649,6
throw parties,throw,party,Collocation,948.260869565217,0.9241197109222412,95.0,0.9493745565414428,92.0,,3.89,161.4,244.31,287.75,312.33,8.54,58685,430978,214649,15
twist words,twist,word,Collocation,1013.30434782609,0.9330129027366638,87.0,0.9457628726959229,98.0,,3.56,247.83,371.55,418.36,446.17,5.18,6271,430978,214649,10
unearth talent,unearth,talent,Collocation,1159.17391304348,0.8027613162994385,77.0,0.9928149580955504,94.0,,2.19,149.46,215.84,243.88,261.1,5.09,1111,430978,214649,2
unleash fury,unleash,fury,Collocation,1099.4347826087,0.9778344631195068,95.0,0.9913347959518432,27.0,,2.89,78.211,122.7,138.28,147.9,8.5,3432,430978,214649,3
unlock potential,unlock,potential,Collocation,1086.91304347826,0.8848263621330261,90.0,0.9611322283744812,97.0,,1.91,154.16,221.87,249.35,265.29,8.54,27122,430978,214649,3
weave stories,weave,story,Collocation,1356.52173913043,0.8540947437286377,83.0,0.9818729758262634,98.0,,3.3,197.18,328.22,376.06,402.62,6.09,15961,430978,214649,4
abandon buildings,abandon,building,Productive,1175.0,0.9250439405441284,99.0,0.9889915585517884,95.0,,4.64,193.2,298.76,338.74,361.38,7.17,15935,430978,214649,5
battle enemies,battle,enemy,Productive,1079.65217391304,0.9611518979072572,94.0,0.9916877746582032,96.0,,2.83,148.22,227.71,259.5,276.9,6.38,3316,430978,214649,1
beat eggs,beat,egg,Productive,1036.13043478261,0.8048112392425537,78.0,0.9675986766815186,97.0,,4.97,124.85,178.59,202.35,217.95,7.28,12025,430978,214649,23
bend legs,bend,leg,Productive,1008.69565217391,0.9695998430252076,94.0,0.9805029034614564,97.0,,4.83,134.48,212.33,256.38,294.07,7.5,7787,430978,214649,6
break bones,break,bone,Productive,936.086956521739,0.930334448814392,92.0,0.9754813313484192,90.0,,4.9,113.62,182.3,215.25,233.86,8.8,66577,430978,214649,59
build structures,build,structure,Productive,873.304347826087,0.984121561050415,99.0,0.9494799375534058,96.0,,4.03,243.93,343.97,379.8,400.18,7.56,85865,430978,214649,10
capture soldiers,capture,soldier,Productive,1064.5652173913,0.818308413028717,96.0,0.9817034006118774,89.0,,4.72,146.17,236.65,278.07,301.43,6.65,10187,430978,214649,6
carry loads,carry,load,Productive,1029.4347826087,0.965851068496704,94.0,0.9866123199462892,98.0,,3.63,139.13,209.14,235.35,251.18,8.16,45814,430978,214649,40
cast lines,cast,line,Productive,1357.13043478261,0.9464386701583862,94.0,0.9702595472335817,98.0,,4.5,253.42,357.41,397.32,421.22,5.33,7730,430978,214649,11
catch fish,catch,fish,Productive,874.782608695652,0.946042537689209,89.0,0.9933391213417052,98.0,,5.0,164.99,237.0,271.35,292.14,9.94,111494,430978,214649,29
chase balls,chase,ball,Productive,1202.95652173913,0.9622492790222168,94.0,0.9785563349723816,99.0,,5.0,152.85,224.94,253.8,268.96,6.8,7917,430978,214649,4
close windows,close,window,Productive,997.04347826087,0.921197772026062,92.0,0.9493435621261596,95.0,,4.86,140.8,244.66,291.16,317.16,8.25,46496,430978,214649,17
cover faces,cover,face,Productive,971.391304347826,0.8324799537658691,96.0,0.977194607257843,97.0,,4.87,234.58,343.73,395.03,428.46,7.66,55326,430978,214649,26
crack eggs,crack,egg,Productive,890.826086956522,0.9333441257476808,89.0,0.9801680445671082,97.0,,4.97,124.85,178.59,202.35,217.95,7.7,7478,430978,214649,13
crash spaceships,crash,spaceship,Productive,1293.65217391304,0.969652771949768,77.0,0.9906375408172609,19.0,,4.48,50.609,75.493,87.215,94.3,7.23,1083,430978,214649,13
cut hair,cut,hair,Productive,870.478260869565,0.8996874094009399,99.0,0.98447984457016,99.0,,4.97,145.81,211.36,244.64,264.55,8.31,46643,430978,214649,41
defuse bombs,defuse,bomb,Productive,997.869565217391,0.9484279751777648,28.0,0.995166838169098,87.0,,4.84,82.168,128.66,156.09,175.26,8.33,5016,430978,214649,1
defy laws,defy,law,Productive,1007.91304347826,0.9828004240989684,90.0,0.9770957231521606,95.0,,2.57,136.56,216.4,271.88,309.43,6.7,12283,430978,214649,3
dissolve sugar,dissolve,sugar,Productive,991.434782608696,0.8617445826530457,83.0,0.9618295431137084,94.0,,4.87,84.472,131.97,165.27,185.99,8.29,7278,430978,214649,11
drive vehicles,drive,vehicle,Productive,944.260869565217,0.919051706790924,97.0,0.990685224533081,95.0,,4.64,135.77,243.43,288.48,318.05,8.3,66778,430978,214649,22
drop anchors,drop,anchor,Productive,1010.86956521739,0.9544598460197448,95.0,0.9843400120735168,65.0,,4.77,96.973,139.06,152.3,158.34,7.3,9980,430978,214649,23
enter houses,enter,house,Productive,1003.13043478261,0.9446269273757936,92.0,0.9854865670204164,94.0,,5.0,207.43,310.94,359.63,394.2,7.62,54063,430978,214649,9
erase boards,erase,board,Productive,1177.65217391304,0.9627084732055664,83.0,0.9591280221939088,93.0,,4.57,187.08,278.44,317.8,338.2,6.27,3931,430978,214649,3
face windows,face,window,Productive,1480.0,0.6656608581542969,99.0,0.967165231704712,95.0,,4.86,140.8,244.66,291.16,317.16,5.38,8743,430978,214649,9
fight armies,fight,army,Productive,1292.78260869565,0.9631505012512208,88.0,0.9912496209144592,96.0,,4.7,127.38,213.56,259.99,294.17,6.16,6330,430978,214649,4
float logs,float,log,Productive,1426.08695652174,0.9328956604003906,52.0,0.9121015071868896,93.0,,4.96,107.86,149.58,163.52,170.97,5.58,871,430978,214649,9
flood areas,flood,area,Productive,1049.39130434783,0.9878585934638976,89.0,0.958817720413208,88.0,,3.72,263.68,404.24,463.02,501.91,6.27,17316,430978,214649,4
forge steel,forge,steel,Productive,1004.17391304348,0.8889467716217041,89.0,0.9925963878631592,76.0,,4.87,98.555,155.27,193.79,217.4,7.58,4002,430978,214649,7
frame pictures,frame,picture,Productive,890.695652173913,0.9434802532196044,88.0,0.9826049208641052,97.0,,4.52,124.67,237.09,298.33,333.94,6.21,9230,430978,214649,6
freeze water,freeze,water,Productive,1236.36363636364,0.9713187217712402,90.0,0.9508214592933656,97.0,,5.0,232.15,324.2,362.8,390.59,5.43,5735,430978,214649,10
fuel cars,fuel,car,Productive,1097.65217391304,0.8915300369262695,99.0,0.9622772336006165,98.0,,4.89,146.58,271.86,328.14,362.93,5.0,4448,430978,214649,4
gather evidence,gather,evidence,Productive,931.347826086957,0.8469932079315186,94.0,0.9925372004508972,95.0,,3.65,161.8,250.91,291.33,310.6,7.94,40083,430978,214649,9
harbor terrorists,harbor,terrorist,Productive,1371.73913043478,0.8795400261878967,93.0,0.98376727104187,90.0,,3.64,85.007,132.96,160.49,178.63,7.66,2297,430978,214649,4
hold hands,hold,hand,Productive,973.826086956522,0.8325691223144531,94.0,0.9875299334526062,96.0,,4.72,269.2,382.64,427.86,454.46,8.38,168395,430978,214649,36
hurl stones,hurl,stone,Productive,1057.78260869565,0.96450936794281,73.0,0.9415457248687744,91.0,,4.72,159.19,242.89,279.87,302.48,7.31,4148,430978,214649,3
hurt children,hurt,child,Productive,1167.69565217391,0.9615941047668456,89.0,0.9857336282730104,97.0,,4.78,201.04,295.22,346.37,384.22,5.5,11455,430978,214649,7
ignite flames,ignite,flame,Productive,1211.4347826087,0.9748726487159728,90.0,0.981716811656952,81.0,,4.67,93.561,139.75,160.47,173.35,7.89,2986,430978,214649,3
inflate balloons,inflate,balloon,Productive,1003.21739130435,0.8530845642089844,78.0,0.986194908618927,83.0,,4.92,82.715,117.6,132.65,140.92,9.37,4946,430978,214649,5
invade territories,invade,territory,Productive,1185.86956521739,0.979499578475952,55.0,0.9815179109573364,91.0,,3.41,170.99,267.54,308.58,331.65,7.73,6334,430978,214649,4
juggle balls,juggle,ball,Productive,943.739130434783,0.9352405667304992,88.0,0.9223726987838744,99.0,,5.0,152.85,224.94,253.8,268.96,5.87,3627,430978,214649,5
kick doors,kick,door,Productive,1010.30434782609,0.9546393156051636,88.0,0.9872676134109496,99.0,,4.81,145.33,240.25,284.65,309.98,6.68,9371,430978,214649,8
kill officers,kill,officer,Productive,1716.73913043478,0.9656172394752502,86.0,0.9767308235168456,91.0,,4.8,200.25,288.09,326.95,352.01,7.23,28098,430978,214649,15
land planes,land,plane,Productive,1061.08695652174,0.962254524230957,92.0,0.9850103259086608,93.0,,4.92,122.19,203.02,246.61,272.63,7.62,6422,430978,214649,7
launch satellites,launch,satellite,Productive,1152.91304347826,0.9339540600776672,95.0,0.9777915477752686,67.0,,4.73,85.82,137.67,159.56,170.31,7.73,23789,430978,214649,6
leak oil,leak,oil,Productive,1007.95454545455,0.8971065282821655,83.0,0.9816628098487854,97.0,,4.93,116.09,174.9,208.49,229.11,7.14,7320,430978,214649,4
level ground,level,ground,Productive,1159.26086956522,0.97752583026886,78.0,0.952347993850708,89.0,,4.77,207.06,291.84,324.49,350.64,5.34,2181,430978,214649,6
lift weights,lift,weight,Productive,907.695652173913,0.902608335018158,96.0,0.8768775463104248,97.0,,3.94,136.57,203.08,229.71,245.41,8.77,39322,430978,214649,24
lock gates,lock,gate,Productive,973.173913043478,0.9699072241783142,90.0,0.9851251840591432,91.0,,4.96,143.81,229.28,265.02,282.2,8.24,11288,430978,214649,9
navigate waters,navigate,water,Productive,1279.39130434783,0.9652236700057985,98.0,0.6926478743553162,97.0,,5.0,232.15,324.2,362.8,390.59,6.46,12267,430978,214649,3
nurse infants,nurse,infant,Productive,1101.31818181818,0.9668474793434144,34.0,0.96650493144989,71.0,,4.93,95.378,142.86,165.46,180.78,6.61,1225,430978,214649,5
pad cushions,pad,cushion,Productive,1268.86956521739,0.95921528339386,53.0,0.9865375757217408,49.0,,4.68,51.694,87.616,103.61,112.46,7.49,1230,430978,214649,4
pay debts,pay,debt,Productive,879.304347826087,0.8780337572097778,95.0,0.9862107634544371,88.0,,2.72,95.713,138.45,158.61,175.87,8.3,84234,430978,214649,11
pick winners,pick,winner,Productive,1008.21739130435,0.915374994277954,94.0,0.9868523478507996,92.0,,3.21,161.86,268.28,315.83,341.99,8.33,25931,430978,214649,12
pierce flesh,pierce,flesh,Productive,1343.5652173913,0.9885035157203674,73.0,0.9816268682479858,80.0,,4.59,117.07,169.48,189.27,199.45,7.06,1508,430978,214649,5
pin hair,pin,hair,Productive,1206.21739130435,0.9396215081214904,83.0,0.992759644985199,99.0,,4.97,145.81,211.36,244.64,264.55,5.09,1623,430978,214649,4
plant seedlings,plant,seedling,Productive,969.04347826087,0.9777191877365112,89.0,0.989159107208252,47.0,,4.56,51.742,78.571,92.66,100.31,8.08,7912,430978,214649,6
polish surfaces,polish,surface,Productive,954.304347826087,0.9830825328826904,90.0,0.97453773021698,95.0,,4.26,249.55,357.56,402.19,427.02,6.5,3211,430978,214649,3
push door,push,door,Productive,1039.95652173913,0.8669787049293518,96.0,0.9824313521385192,99.0,,4.81,145.33,240.25,284.65,309.98,6.53,13073,430978,214649,10
read documents,read,document,Productive,958.130434782609,0.9783147573471068,94.0,0.981660544872284,94.0,,4.41,158.9,245.28,277.4,295.0,6.68,34757,430978,214649,11
reap harvests,reap,harvest,Productive,1327.69565217391,0.9778130650520324,59.0,0.9688152074813844,82.0,,4.0,101.17,144.38,158.59,165.35,9.56,7559,430978,214649,2
scrap cars,scrap,car,Productive,933.217391304348,0.90090149641037,76.0,0.9791705012321472,98.0,,4.89,146.58,271.86,328.14,362.93,5.05,4251,430978,214649,3
scrape skin,scrape,skin,Productive,1129.30434782609,0.9554072022438048,50.0,0.9787023067474364,97.0,,4.79,169.4,240.84,276.4,299.07,5.42,1675,430978,214649,6
share food,share,food,Productive,947.772727272727,0.8976004719734192,98.0,0.9880776405334472,97.0,,4.8,169.07,241.2,280.07,303.04,5.76,17706,430978,214649,5
shatter glass,shatter,glass,Productive,995.95652173913,0.9278979301452636,83.0,0.9373904466629028,92.0,,4.82,149.6,219.89,246.25,262.92,7.26,5273,430978,214649,3
shift position,shift,position,Productive,936.478260869565,0.97369784116745,98.0,0.9697390794754028,96.0,,2.62,229.38,325.34,362.4,380.34,6.49,13395,430978,214649,13
slash throats,slash,throat,Productive,1251.95652173913,0.8721135258674622,91.0,0.971295177936554,82.0,,4.97,78.256,118.6,144.46,163.8,8.11,2869,430978,214649,5
smear blood,smear,blood,Productive,1217.47826086957,0.9542034268379213,50.0,0.9778509736061096,97.0,,4.86,132.86,194.1,218.83,232.67,6.35,2322,430978,214649,4
