verb,noun,item,n_kwics,coll_freq,logDice,usage,noun_concreteness,noun_synset_len,verb_synset_len,snd3,snd10,snd25,snd50,queried_by_verb,queried_by_noun,n_nouns_for_verb,n_verbs_for_noun
abandon,pretense,abandon pretense,100,1903,5.88,abandoned any pretense,1.76,5,5,30.335,63.331,75.125,80.499,1,0,99,1
abandon,principle,abandon principle,100,5860,6.3,abandon the principle,1.7,6,5,173.17,258.58,301.03,328.38,1,0,99,2
abandon,process,abandon process,100,1845,3.0,abandon the process,2.93,6,5,219.57,309.68,362.4,391.04,1,0,99,24
abandon,program,abandon program,100,4089,4.05,abandon its nuclear program,3.43,8,5,175.08,280.8,337.3,363.32,1,0,99,15
abandon,project,abandon project,100,18018,6.46,project was abandoned,3.62,2,5,170.17,284.97,344.87,374.52,1,0,99,19
abandon,property,abandon property,100,6228,5.51,abandoned property,3.9,5,5,209.32,300.52,334.86,350.85,1,0,99,6
abandon,pursuit,abandon pursuit,100,2119,5.9,abandon the pursuit,2.92,4,5,149.54,212.46,234.98,247.86,1,0,99,1
abandon,quest,abandon quest,100,1917,5.64,abandon the quest,2.87,2,5,151.88,212.52,234.84,247.07,1,0,99,1
abandon,race,abandon race,100,2113,4.82,abandon the race,3.59,6,5,158.94,236.9,277.44,300.12,1,0,99,4
abandon,religion,abandon religion,100,1949,5.24,abandon their religion,1.71,2,5,138.07,223.93,264.14,287.99,1,0,99,2
abandon,responsibility,abandon responsibility,100,2356,4.68,abandoned their responsibilities,1.4,3,5,139.46,206.54,231.4,249.11,1,0,99,6
abandon,right,abandon right,100,2442,3.51,abandon the right,3.47,8,5,191.92,277.76,311.67,326.78,1,0,99,7
abandon,road,abandon road,100,1855,4.6,abandoned road,4.75,2,5,236.91,405.38,498.87,551.42,1,0,99,9
abandon,role,abandon role,100,2190,3.42,abandoned its role,2.19,4,5,246.23,352.95,394.79,417.68,1,0,99,6
abandon,rule,abandon rule,100,1911,3.89,abandon the rule,2.57,12,5,177.48,280.06,326.59,358.7,1,0,99,11
abandon,school,abandon school,100,2027,3.92,abandoned school,4.79,7,5,149.12,280.27,350.18,390.54,1,0,99,7
abandon,search,abandon search,100,2254,5.17,abandon the search,3.0,5,5,172.57,251.46,282.01,296.52,1,0,99,2
abandon,service,abandon service,100,1745,2.5,service was abandoned,2.21,15,5,200.41,284.58,315.39,332.94,1,0,99,18
abandon,settlement,abandon settlement,100,2156,5.53,settlement was abandoned,3.07,7,5,168.4,233.88,260.37,273.7,1,0,99,1
abandon,ship,abandon ship,100,16629,7.86,to abandon ship,4.87,1,5,128.34,250.17,304.84,346.07,1,0,99,15
abandon,site,abandon site,100,8277,5.56,site was abandoned,4.56,3,5,252.6,368.9,411.88,434.34,1,0,99,18
abandon,standard,abandon standard,100,2040,4.17,abandoned the gold standard,1.83,6,5,145.8,231.6,271.5,290.46,1,0,99,2
abandon,station,abandon station,100,4270,5.75,abandoned gas station,4.32,5,5,219.1,332.06,378.41,407.53,1,0,99,5
abandon,strategy,abandon strategy,100,1950,4.07,abandon the strategy,1.93,2,5,159.33,237.03,280.72,303.86,1,0,99,8
abandon,structure,abandon structure,100,2297,4.4,abandoned structures,4.03,5,5,243.93,343.97,379.8,400.18,1,0,99,8
abandon,study,abandon study,100,2783,4.27,abandoned his studies,3.7,10,5,170.51,280.01,333.13,360.44,1,0,99,5
abandon,support,abandon support,100,1995,3.52,abandon support,2.83,11,5,192.66,285.67,327.93,350.38,1,0,99,9
abandon,system,abandon system,100,4551,3.7,system was abandoned,2.94,9,5,223.61,330.78,374.49,401.55,1,0,99,36
abandon,theory,abandon theory,100,1701,4.52,abandoned the theory,1.47,3,5,196.65,287.5,337.25,366.48,1,0,99,7
abandon,town,abandon town,100,4531,5.98,abandoned town,4.64,4,5,167.37,359.75,445.5,497.25,1,0,99,7
abandon,tradition,abandon tradition,100,1871,5.04,abandon tradition,1.69,2,5,209.79,305.49,345.92,368.67,1,0,99,4
abandon,use,abandon use,100,5271,4.87,absolutely renounced and abandoned the use of,2.78,7,5,280.86,395.0,441.41,469.21,1,0,99,6
abandon,vehicle,abandon vehicle,100,6599,6.11,abandoned vehicles,4.64,4,5,135.77,243.43,288.48,318.05,1,0,99,14
abandon,village,abandon village,100,4625,6.31,abandoned village,4.89,3,5,197.9,320.64,384.5,419.84,1,0,99,6
abandon,warehouse,abandon warehouse,100,3121,6.46,an abandoned warehouse,4.69,1,5,100.35,145.08,166.39,179.75,1,0,99,1
abandon,way,abandon way,100,2971,2.33,abandon the way,2.34,12,5,244.04,355.4,397.34,421.07,1,0,99,38
abandon,weapon,abandon weapon,100,1716,4.54,abandon its nuclear weapons,4.76,2,5,121.89,179.72,215.89,244.38,1,0,99,12
abandon,well,abandon well,100,2359,5.86,abandoned wells,3.33,5,5,117.42,166.64,184.32,193.09,1,0,99,1
abandon,wife,abandon wife,100,3195,5.56,abandoned his wife,4.13,1,5,151.21,301.64,415.57,502.75,1,0,99,3
abandon,woman,abandon woman,100,1771,3.27,abandoned women,4.46,4,5,176.89,278.3,349.75,390.06,1,0,99,19
abandon,work,abandon work,100,4976,3.8,work was abandoned,3.48,7,5,272.87,386.54,424.55,447.82,1,0,99,22
abandon,world,abandon world,100,1916,3.5,abandoned the world,4.36,8,5,202.2,309.66,360.98,390.98,1,0,99,28
abandon,year,abandon year,100,4640,3.36,abandoned years,3.25,4,5,119.49,308.84,424.66,500.24,1,0,99,26
battle,abuse,battle abuse,100,493,4.27,battling substance abuse,2.71,3,1,95.851,150.62,181.18,201.53,1,0,94,2
battle,addiction,battle addiction,100,3438,7.91,battling addiction,2.85,3,1,63.751,106.06,123.49,134.14,1,0,94,3
battle,alcoholism,battle alcoholism,100,616,5.97,battled alcoholism,2.93,2,1,47.308,73.811,86.471,94.405,1,0,94,1
battle,alien,battle alien,100,722,5.52,battling aliens,3.52,3,1,78.966,120.34,139.53,151.46,1,0,94,3
battle,anxiety,battle anxiety,100,635,4.98,battling anxiety,2.21,2,1,122.88,174.78,195.2,210.37,1,0,94,1
battle,army,battle army,100,1082,5.05,battle an army,4.7,3,1,127.38,213.56,259.99,294.17,1,0,94,8
battle,beast,battle beast,100,733,5.37,battle the beast,4.63,2,1,79.706,134.98,160.11,178.98,1,0,94,2
battle,blaze,battle blaze,100,3930,8.52,battling the blaze,4.28,5,1,58.756,85.678,95.287,102.75,1,0,94,2
battle,boss,battle boss,100,705,5.18,battling bosses,3.83,6,1,153.56,227.6,257.07,273.58,1,0,94,4
battle,bug,battle bug,100,565,4.09,battling bugs,5.0,5,1,90.702,134.72,154.59,166.79,1,0,94,6
battle,cancer,battle cancer,100,16941,9.03,battling cancer,3.86,5,1,80.151,122.8,146.49,163.87,1,0,94,3
battle,case,battle case,100,505,1.16,battling a case,3.93,20,1,282.91,389.36,429.99,455.63,1,0,94,16
battle,challenge,battle challenge,100,684,2.63,battle the challenges,2.11,5,1,158.7,224.89,250.88,263.63,1,0,94,9
battle,change,battle change,100,838,1.96,to battle climate change,2.89,10,1,169.83,260.43,300.98,324.77,1,0,94,14
battle,cold,battle cold,100,811,5.75,battling a cold,3.85,3,1,76.31,108.95,120.21,125.42,1,0,94,3
battle,company,battle company,100,476,1.16,battling insurance companies,4.11,9,1,158.09,282.67,333.64,366.19,1,0,94,17
battle,condition,battle condition,100,1656,3.86,battling the condition,2.15,8,1,194.29,312.47,352.93,373.86,1,0,94,5
battle,corruption,battle corruption,100,563,5.05,battling corruption,2.39,6,1,96.623,149.85,176.13,191.97,1,0,94,3
battle,creature,battle creature,100,1278,5.53,battling creatures,4.07,3,1,127.71,213.82,251.0,272.74,1,0,94,3
battle,crime,battle crime,100,611,3.74,battling crime,3.03,2,1,110.39,176.43,212.35,236.78,1,0,94,3
battle,crisis,battle crisis,100,1233,5.15,battling the crisis,2.33,2,1,139.99,213.55,249.27,271.87,1,0,94,9
battle,crowd,battle crowd,100,535,4.13,battle the crowds,4.52,2,1,168.11,256.74,291.15,308.88,1,0,94,6
battle,demon,battle demon,100,4244,8.0,battling demons,3.32,3,1,81.379,122.55,152.67,171.0,1,0,94,4
battle,depression,battle depression,100,3019,7.45,battling depression,2.39,10,1,133.25,188.22,212.71,226.54,1,0,94,1
battle,disease,battle disease,100,4809,6.46,battling the disease,3.45,1,1,102.9,195.33,244.79,273.82,1,0,94,7
battle,disorder,battle disorder,100,792,4.93,battling an eating disorder,3.1,3,1,85.615,145.59,173.21,194.34,1,0,94,2
battle,dragon,battle dragon,100,746,5.59,battling dragons,4.39,4,1,88.263,133.52,158.8,175.7,1,0,94,3
battle,effect,battle effect,100,778,2.11,battling the effects of,1.8,6,1,218.79,347.59,391.78,415.54,1,0,94,8
battle,element,battle element,100,1830,4.37,battling the elements,3.63,7,1,214.49,312.21,360.35,389.13,1,0,94,9
battle,enemy,battle enemy,100,3316,6.38,battling enemies,2.83,4,1,148.22,227.71,259.5,276.9,1,0,94,13
battle,epidemic,battle epidemic,100,729,5.75,battling the epidemic,3.23,1,1,39.298,66.52,80.064,87.959,1,0,94,3
battle,evil,battle evil,100,1082,5.97,battling evil,1.93,3,1,99.432,147.25,170.47,183.24,1,0,94,3
battle,fatigue,battle fatigue,100,489,5.21,battling fatigue,3.14,4,1,66.896,100.16,115.18,127.43,1,0,94,1
battle,fear,battle fear,100,559,3.81,battling fear,2.57,3,1,208.48,300.15,342.67,365.02,1,0,94,14
battle,fire,battle fire,100,3771,6.11,battling the fire,4.68,9,1,142.33,217.4,250.15,268.89,1,0,94,13
battle,flame,battle flame,100,910,5.78,battling the flames,4.67,1,1,93.561,139.75,160.47,173.35,1,0,94,5
battle,flu,battle flu,100,519,5.45,battling the flu,3.65,1,1,39.344,59.197,76.02,87.314,1,0,94,2
battle,foe,battle foe,100,1389,6.77,battling foes,2.96,2,1,81.923,141.67,163.93,174.89,1,0,94,2
battle,force,battle force,100,4389,5.56,battle the forces,3.0,10,1,126.65,244.96,289.46,319.69,1,0,94,11
battle,form,battle form,100,613,2.1,battling a rare form,3.13,16,1,243.13,363.22,411.47,440.19,1,0,94,6
battle,friend,battle friend,100,678,2.4,battle your friends,3.07,5,1,232.09,344.16,410.42,459.92,1,0,94,7
battle,game,battle game,100,778,1.51,battling game,4.5,11,1,197.97,310.04,362.54,399.13,1,0,94,35
battle,giant,battle giant,100,465,4.98,battling giants,4.3,7,1,136.09,198.64,220.02,231.07,1,0,94,1
battle,government,battle government,100,751,2.95,battling the government,2.88,4,1,149.61,245.04,291.34,317.6,1,0,94,7
battle,group,battle group,100,1155,2.73,battling a group,4.12,3,1,225.61,346.48,394.01,420.34,1,0,94,12
battle,guy,battle guy,100,646,3.05,battling bad guys,4.68,3,1,158.9,243.11,283.09,309.25,1,0,94,10
battle,heat,battle heat,100,586,4.06,battle the heat,3.79,7,1,140.74,200.68,224.65,238.65,1,0,94,3
battle,horde,battle horde,100,699,6.0,battling hordes,3.7,3,1,80.335,130.35,150.93,162.79,1,0,94,3
battle,illness,battle illness,100,3799,7.42,battling illness,3.54,1,1,130.54,184.72,212.24,232.71,1,0,94,3
battle,infection,battle infection,100,1123,5.25,battling an infection,4.1,7,1,88.597,155.87,186.17,207.4,1,0,94,4
battle,injury,battle injury,100,7309,7.39,battled injuries,4.0,5,1,143.16,220.1,255.3,272.09,1,0,94,2
battle,insurgency,battle insurgency,100,501,5.56,battling an insurgency,2.44,1,1,51.792,88.5,103.21,111.31,1,0,94,2
battle,insurgent,battle insurgent,100,445,5.4,battling insurgents,3.42,2,1,49.318,84.287,105.12,118.97,1,0,94,1
battle,issue,battle issue,100,3322,3.57,battling health issues,2.37,11,1,174.52,308.87,366.65,399.06,1,0,94,16
battle,leukemia,battle leukemia,100,1087,6.74,battling leukemia,3.57,1,1,18.672,34.041,43.722,50.781,1,0,94,1
battle,man,battle man,100,701,1.56,men battled,4.79,11,1,192.73,336.5,412.7,455.21,1,0,94,37
battle,militant,battle militant,100,579,5.59,battling militants,2.62,1,1,55.418,100.78,132.07,151.84,1,0,94,2
battle,monster,battle monster,100,3046,7.08,battling monsters,3.72,5,1,80.382,142.02,178.1,200.01,1,0,94,4
battle,number,battle number,100,451,0.41,battling a number of,3.3,11,1,198.05,280.36,322.92,351.63,1,0,94,36
battle,odd,battle odd,100,632,5.11,battling the odds,1.7,0,1,26.264,36.774,40.899,43.129,1,0,94,5
battle,opponent,battle opponent,100,1084,5.34,battling opponents,3.52,2,1,176.66,283.87,330.83,357.57,1,0,94,12
battle,outbreak,battle outbreak,100,1166,6.16,battling an outbreak,3.04,1,1,128.25,187.64,213.08,227.95,1,0,94,1
battle,pain,battle pain,100,555,3.23,battling pain,3.5,5,1,146.11,209.1,238.27,258.16,1,0,94,4
battle,pandemic,battle pandemic,100,2892,7.41,battling the pandemic,2.54,1,1,33.198,52.242,61.842,67.957,1,0,94,3
battle,pirate,battle pirate,100,468,5.18,battling pirates,4.64,3,1,67.108,104.39,127.41,141.31,1,0,94,1
battle,player,battle player,100,930,2.83,battle other players,4.15,5,1,226.69,338.56,382.77,407.1,1,0,94,13
battle,police,battle police,100,597,4.08,battled police,4.79,1,1,142.05,205.86,231.44,245.41,1,0,94,2
battle,poverty,battle poverty,100,449,4.58,battling poverty,2.54,1,1,92.143,137.02,157.33,169.46,1,0,94,2
battle,problem,battle problem,100,2732,2.97,battling health problems,2.68,3,1,202.61,312.71,353.01,375.03,1,0,94,16
battle,rebel,battle rebel,100,598,5.48,battling rebels,3.07,3,1,69.332,130.3,172.76,196.47,1,0,94,1
battle,rival,battle rival,100,430,4.93,battling rivals,3.03,1,1,170.98,273.51,324.7,352.91,1,0,94,2
battle,robot,battle robot,100,687,5.04,battling robots,4.65,1,1,104.23,148.22,165.25,174.59,1,0,94,1
battle,side,battle side,100,752,3.23,battled side by side,3.68,12,1,242.69,366.37,436.59,477.44,1,0,94,25
battle,spirit,battle spirit,100,475,3.45,battling spirit,1.6,8,1,185.02,272.1,307.13,325.29,1,0,94,10
battle,state,battle state,100,445,1.89,battling the Islamic State,3.52,8,1,191.75,277.34,313.22,330.08,1,0,94,12
battle,storm,battle storm,100,489,4.65,battling storms,4.7,3,1,113.46,178.08,210.12,230.75,1,0,94,5
battle,system,battle system,100,641,0.96,battling system,2.94,9,1,223.61,330.78,374.49,401.55,1,0,94,36
battle,team,battle team,100,1325,2.83,teams battled,3.79,2,1,204.37,328.15,369.37,388.62,1,0,94,22
battle,terrorism,battle terrorism,100,467,4.92,battling terrorism,2.79,1,1,99.951,145.55,166.3,180.5,1,0,94,2
battle,terrorist,battle terrorist,100,503,4.85,battling terrorists,3.64,1,1,85.007,132.96,160.49,178.63,1,0,94,4
battle,thing,battle thing,100,535,0.05,battling things,3.17,12,1,143.55,268.8,339.04,370.97,1,0,94,51
battle,threat,battle threat,100,948,4.04,battle the threat,2.52,4,1,184.42,279.11,309.64,325.29,1,0,94,8
battle,time,battle time,100,829,0.14,battling time,3.07,10,1,273.83,408.51,469.17,512.74,1,0,94,50
battle,traffic,battle traffic,100,696,4.29,battling traffic,4.67,4,1,129.05,185.05,208.03,221.77,1,0,94,5
battle,trainer,battle trainer,100,428,4.86,battling trainers,4.31,2,1,99.187,152.17,173.98,186.84,1,0,94,1
battle,troop,battle troop,100,542,4.13,troops battled,4.34,4,1,43.961,69.395,84.425,94.045,1,0,94,6
battle,villain,battle villain,100,1008,6.11,battling villains,3.79,2,1,97.916,141.35,161.33,174.37,1,0,94,1
battle,virus,battle virus,100,1742,5.98,battling the virus,3.48,3,1,98.597,163.57,194.16,213.12,1,0,94,9
battle,wave,battle wave,100,1459,5.39,battling waves,4.55,9,1,166.5,236.93,267.61,282.94,1,0,94,11
battle,way,battle way,100,9139,4.0,battle their way,2.34,12,1,244.04,355.4,397.34,421.07,1,0,94,38
battle,weather,battle weather,100,729,5.01,battling the weather,3.83,1,1,126.32,196.47,226.45,245.27,1,0,94,2
battle,wildfire,battle wildfire,100,1379,7.01,battling wildfires,4.59,1,1,34.053,54.75,65.296,72.172,1,0,94,3
battle,wind,battle wind,100,1337,5.77,battling the wind,3.93,8,1,123.81,194.16,227.53,249.12,1,0,94,6
battle,year,battle year,100,903,1.07,battle once again this year,3.25,4,1,119.49,308.84,424.66,500.24,1,0,94,26
beat,ass,beat ass,100,3519,5.8,beat his ass,4.67,6,23,37.16,64.015,75.824,81.701,1,0,78,3
beat,blue,beat blue,100,2047,5.13,beat the winter blues,3.76,7,23,86.734,155.23,188.58,207.89,1,0,78,1
beat,boss,beat boss,100,5114,6.36,beat the boss,3.83,6,23,153.56,227.6,257.07,273.58,1,0,78,4
beat,boy,beat boy,100,3802,5.3,beat the boys,4.76,4,23,118.02,242.69,304.06,336.23,1,0,78,7
beat,breast,beat breast,100,2389,5.34,beat their breasts,4.89,4,23,85.921,129.13,149.15,161.41,1,0,78,2
beat,butter,beat butter,100,3240,5.78,beat the butter,4.9,2,23,82.231,121.23,150.89,172.76,1,0,78,5
beat,cancer,beat cancer,100,6430,6.42,beat cancer,3.86,5,23,80.151,122.8,146.49,163.87,1,0,78,3
beat,champion,beat champion,100,3077,5.51,beat the champion,3.82,4,23,166.76,283.38,334.45,361.62,1,0,78,1
beat,cheese,beat cheese,100,2217,5.18,beat cream cheese,4.7,2,23,75.996,122.02,151.65,176.1,1,0,78,4
beat,chest,beat chest,100,4173,6.16,beat their chests,4.93,4,23,101.46,146.27,172.5,202.92,1,0,78,4
beat,child,beat child,100,6368,4.52,beat their children,4.78,4,23,201.04,295.22,346.37,384.22,1,0,78,21
beat,clock,beat clock,100,2700,5.43,to beat the clock,5.0,1,23,96.922,138.99,156.07,165.57,1,0,78,1
beat,competition,beat competition,100,7768,6.46,beat the competition,3.86,4,23,146.29,235.72,281.35,307.68,1,0,78,7
beat,competitor,beat competitor,100,4019,6.07,beat your competitors,3.23,1,23,164.25,230.35,255.44,270.68,1,0,78,1
beat,count,beat count,100,1971,4.87,beat the count,3.0,3,23,160.71,221.65,239.34,246.88,1,0,78,3
beat,crap,beat crap,100,11686,7.61,beat the crap out of,3.67,2,23,44.493,77.799,90.095,95.923,1,0,78,3
beat,crowd,beat crowd,100,3267,5.48,to beat the crowds,4.52,2,23,168.11,256.74,291.15,308.88,1,0,78,6
beat,day,beat day,100,2344,2.76,beaten every day,3.92,10,23,202.17,322.8,424.94,489.25,1,0,78,31
beat,deadline,beat deadline,100,2019,4.99,beat the deadline,2.66,1,23,113.93,161.38,179.32,188.81,1,0,78,2
beat,defender,beat defender,100,4944,6.4,beat defenders,3.19,2,23,107.98,190.04,236.75,259.47,1,0,78,1
beat,disease,beat disease,100,2414,4.64,beat the disease,3.45,1,23,102.9,195.33,244.79,273.82,1,0,78,7
beat,dog,beat dog,100,2319,4.49,beat the dog,4.85,7,23,104.88,197.0,248.38,285.38,1,0,78,10
beat,drum,beat drum,100,15189,8.0,beating the drum,4.96,6,23,102.19,176.79,219.9,250.95,1,0,78,2
beat,egg,beat egg,100,12025,7.28,Beat the eggs,4.97,3,23,124.85,178.59,202.35,217.95,1,0,78,9
beat,enemy,beat enemy,100,3056,5.21,beat the enemy,2.83,4,23,148.22,227.71,259.5,276.9,1,0,78,13
beat,estimate,beat estimate,100,6914,6.61,beat estimates,2.65,5,23,112.47,176.62,208.59,226.77,1,0,78,3
beat,expectation,beat expectation,100,8808,6.77,beat expectations,1.62,4,23,128.73,183.66,206.18,218.56,1,0,78,6
beat,field,beat field,100,1990,4.04,beat a field,4.26,17,23,244.0,344.01,383.08,400.82,1,0,78,12
beat,forecast,beat forecast,100,2127,5.18,beat forecasts,2.78,1,23,103.12,151.06,169.39,182.38,1,0,78,2
beat,friend,beat friend,100,1982,3.54,beat your friends,3.07,5,23,232.09,344.16,410.42,459.92,1,0,78,7
beat,game,beat game,100,19656,5.97,beat the game,4.5,11,23,197.97,310.04,362.54,399.13,1,0,78,35
beat,girl,beat girl,100,2482,4.33,beat the girl,4.85,5,23,134.18,267.25,335.11,371.05,1,0,78,7
beat,guy,beat guy,100,7185,5.89,beat the guy,4.68,3,23,158.9,243.11,283.09,309.25,1,0,78,10
beat,hand,beat hand,100,4087,4.39,beat hands,4.72,14,23,269.2,382.64,427.86,454.46,1,0,78,33
beat,head,beat head,100,6686,5.35,beating my head,4.75,33,23,299.95,421.51,474.88,503.64,1,0,78,28
beat,heart,beat heart,100,13317,6.97,the beating heart of,4.52,10,23,222.29,308.92,338.38,354.34,1,0,78,18
beat,heat,beat heat,100,10268,7.04,to beat the heat,3.79,7,23,140.74,200.68,224.65,238.65,1,0,78,3
beat,hell,beat hell,100,8836,7.09,beat the hell out of,2.41,6,23,104.67,147.82,166.05,175.55,1,0,78,3
beat,horse,beat horse,100,10217,6.96,beating a dead horse,5.0,5,23,142.0,208.53,244.99,274.44,1,0,78,4
beat,keeper,beat keeper,100,1998,5.17,beat the keeper,3.0,2,23,97.35,146.98,169.12,181.26,1,0,78,1
